date,url quantity,rua geraldo barbosa,avenida dos expedicionarios,rua joao carvalho,avenida conselheiro lafaiete,tunel da avenida rogaciano leite,avenida washington soares,avenida alberto sa,avenida heraclito graca,avenida jose bastos,avenida desembargador moreira,urls
2021-10-04 00:00:00,2,0,0,0,0,0,0,0,0,0,0,"['https://www.climatempo.com.br/noticia/2021/10/04/nordeste-tera-os-proximos-dias-marcados-por-calor-e-tempo-seco-2200', 'https://www.academia.edu/54188384/Religiosidade_Na_Amaz%C3%B4nia_Paraense_Uma_Etnografia_Da_Comunidade_Quilombola_Vila_Do_Cravo_Bujaru_Pa']"
2021-10-05 00:00:00,2,0,0,0,0,0,0,0,0,0,0,"['https://www.climatempo.com.br/noticia/2021/10/05/sudeste-centro-oeste-e-norte-podem-ter-temporais-hoje-2216', 'https://www.focoregional.com.br/Noticia/apontado-como-lider-do-trafico-em-angra-morre']"
2021-10-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-10-07 00:00:00,2,0,0,0,0,0,0,0,0,0,0,"['https://www.marinacolasanti.com/2021/10/um-robozinho-desnecessario.html', 'https://www.escavador.com/sobre/4379017/ercilia-torres-steinke']"
2021-10-08 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-10-09 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-10-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-10-11 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-10-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,[]
2021-10-13 00:00:00,1,0,0,0,0,0,0,0,0,0,0,['https://folhaz.com.br/noticias/goias-sob-risco-de-temporal-raios-rajadas/']
2021-10-14 00:00:00,3,0,0,0,0,0,0,0,0,0,0,"['https://www.campograndenews.com.br/cidades/capital/chuva-causa-alagamento-e-trava-transito-na-chaadi-scaff', 'https://www.campograndenews.com.br/cidades/capital/chuva-adia-interdicao-de-cruzamento-da-rui-barbosa-com-avenida-fernando-correa', 'https://focoregional.com.br/Noticia/Wanderley%20ser%C3%A1%20o%20titular%20no%20ataque%20do%20Fla%20contra%20o%20Cear%C3%A1']"
2021-10-15 00:00:00,3,0,0,0,0,0,0,0,0,0,0,"['https://www.opovo.com.br/noticias/fortaleza/2021/10/15/mini-espigoes-no-aterro-buscam-evitar-alagamentos-na-beira-mar.html', 'https://www.escavador.com/sobre/3616367/silvana-de-paula-quintao-scalon', 'https://www.livrosgratis.com.br/ler-livro-online-9539/arqueologia-no-medio-sao-francisco---indigenas-vaqueiros-e-missionarios']"
